"Reference","Qty","Manufacturer","Manufacturer Part Number","SCH_FOOTPRINT"
"C1,C4","2","Wurth Elektronik","885012206052","0603"
"C2,C3","2","Kemet","C0603X104K1RACTU","0603"
"C5,C6","2","Murata","GRM1885C1H103JA01D","0603"
"GDT1,GDT2","2","Littelfuse","CG775MS","2.8x3.5mm"
"J1,J2","2","Adam Tech","RF2-143-T-17-50-G","SMA_EDGE"
"L1","1","Murata Electronics","LQW18ANR39J00D","0603"
"L2,L3","2","Coilcraft","WA8514-AE","4.4x2mm"
"R1","1","Panasonic","ERJ-3EKF1001V","0603"
"TVS1,TVS2","2","Bourns","CGA0603MLC-05E","0603"
"U1","1","ON Semiconductor","NCV8163ASN300T1G","SOT23-5"
"U2","1","Mini-Circuits","PMA-5452+","DQ849"
