Ref,Val,Package,PosX,PosY,Rot,Side
"","","",1.600000,34.500000,0.000000,top
"","","",1.600000,17.500000,0.000000,top
"","","",44.600000,34.500000,0.000000,top
"","","",44.600000,17.500000,0.000000,top
"C1","1u","C_0603_1608",24.275000,32.000000,180.000000,top
"C2","100n","C_0603_1608",24.275000,33.200000,180.000000,top
"C3","100n","C_0603_1608",32.225000,33.200000,0.000000,top
"C4","1u","C_0603_1608",32.225000,31.900000,0.000000,top
"C5","10n","C_0603_1608",15.846000,26.200000,0.000000,top
"C6","10n","C_0603_1608",28.225000,26.200000,0.000000,top
"GDT1","~","GDT_CG775MS",36.300000,20.600000,0.000000,top
"GDT2","~","GDT_CG775MS",10.300000,20.600000,180.000000,top
"J1","~","J_RF2-143-T-17-50-G",11.800000,13.720000,90.000000,top
"J2","~","J_RF2-143-T-17-50-G",34.800000,13.720000,90.000000,top
"L1","390nH","L_RF_390nH_0603_LQW18ANR39J00D",17.921000,26.862000,90.000000,top
"L2","5.6uH","L_RF_5.6uH_4.4x2mm_WA8514-AE",24.950080,28.193820,90.000000,top
"L3","5.6uH","L_RF_5.6uH_4.4x2mm_WA8514-AE",31.500080,28.193820,90.000000,top
"R1","1k","R_0603_1608",21.425000,29.625000,90.000000,top
"TVS1","~","R_0603_1608",35.525000,23.600000,0.000000,top
"TVS2","~","R_0603_1608",11.075000,23.600000,180.000000,top
"U1","~","VL_NCV8163ASN300T1G",28.670000,34.152500,90.000000,top
"U2","~","U_PMA-5452+",21.100000,26.200000,0.000000,top
