"Reference","Qty","Manufacturer","Manufacturer Part Number","SCH_FOOTPRINT"
"C1","1","Kemet","C0603X104K1RACTU","0603"
"C2","1","Wurth Elektronik","885012206052","0603"
"C3,C4","2","Murata","GRM155R71H104KE14D","0402"
"C5","1","Murata","GRM1885C1H103JA01D","0603"
"F1","1","BEL Fuse","0ZCJ0025AF2E","1206"
"GDT1","1","Littelfuse","CG775MS","2.8x3.5mm"
"J1","1","GCT","USB4105-GF-A","SMD USBC"
"J2","1","Amphenol RF","132366","SMA_EDGE"
"J3","1","Adam Tech","RF2-143-T-17-50-G","SMA_EDGE"
"L1","1","Coilcraft","WA8514-AE","4.4x2mm"
"R1,R2","2","Panasonic","ERJ-2RKF5101X","0402"
"R3,R4","2","Panasonic","ERJ-2RKF1004X","0402"
"TVS1","1","Bourns","CGA0603MLC-05E","0603"
