Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0402_1005",21.110000,36.000000,180.000000,bottom
"C4","100n","C_0402_1005",13.290000,36.900000,0.000000,bottom
"R1","5.1k","R_0402_1005",15.500000,36.150000,-90.000000,bottom
"R2","5.1k","R_0402_1005",18.400000,36.150000,-90.000000,bottom
"R3","1M","R_0402_1005",21.050000,36.900000,0.000000,bottom
"R4","1M","R_0402_1005",13.350000,36.000000,180.000000,bottom
"","","",6.600000,21.500000,0.000000,top
"","","",41.600000,37.500000,0.000000,top
"","","",41.600000,21.500000,0.000000,top
"","","",6.600000,37.500000,0.000000,top
"C1","100n","C_0603_1608",21.000000,27.775000,-90.000000,top
"C2","1u","C_0603_1608",19.600000,27.775000,-90.000000,top
"C5","10n","C_0603_1608",32.600000,25.275000,-90.000000,top
"F1","~","F_250mA_24V_1206",24.600000,28.500000,0.000000,top
"GDT1","~","GDT_CG775MS",31.100000,34.100000,180.000000,top
"J1","~","J_USB_C_USB4105",17.200000,38.500000,180.000000,top
"J2","~","J_132366",32.600000,17.800000,90.000000,top
"J3","~","J_RF2-143-T-17-50-G",32.600000,41.200000,-90.000000,top
"L1","5.6uH","L_RF_5.6uH_4.4x2mm_WA8514-AE",30.606180,28.500080,180.000000,top
"R5","NC","R_NC_0402_1005",16.200000,31.400000,180.000000,top
"R6","NC","R_NC_0402_1005",18.200000,31.400000,0.000000,top
"R7","NC","R_NC_0402_1005",16.200000,30.400000,0.000000,top
"R8","NC","R_NC_0402_1005",18.200000,30.400000,180.000000,top
"TVS1","~","R_0603_1608",31.875000,30.800000,180.000000,top
