Frequency,S11_Magnitude,
1000000,0.05513519296,
2333111,0.02341437824,
3666222,-0.02137758811,
4999333,-0.02236590339,
6332444,-0.05546119686,
7665555,-0.08383498702,
8998666,-0.1189489546,
10331777,-0.1857265506,
11664888,-0.2798246935,
12998000,-0.469047034,
14331111,-1.48108998,
15664222,-0.5898512326,
16997333,-0.4083073103,
18330444,-0.4161061288,
19663555,-0.4539049102,
20996666,-0.5099074856,
22329777,-0.6052676852,
23662888,-0.8539394178,
24996000,-1.334352746,
26329111,-0.9242038025,
27662222,-0.7388325187,
28995333,-0.6759752431,
30328444,-0.6866972922,
31661555,-0.7708385787,
32994666,-0.9649131307,
34327777,-1.376500829,
35660888,-1.507886541,
36994000,-1.061706854,
38327111,-0.8053189342,
39660222,-0.6883118722,
40993333,-0.6332555242,
42326444,-0.6055285822,
43659555,-0.6024546187,
44992666,-0.6099274539,
46325777,-0.6250206518,
47658888,-0.644331931,
48992000,-0.6698088453,
50325111,-0.6918566869,
51658222,-0.7191779765,
52991333,-0.7445692398,
54324444,-0.7657287771,
55657555,-0.788506958,
56990666,-0.8326555066,
58323777,-0.8776438637,
59656888,-0.9135615766,
60990000,-0.9903050306,
62323111,-1.068100004,
63656222,-1.138621395,
64989333,-1.258320372,
66322444,-1.391576702,
67655555,-1.518184091,
68988666,-1.417218671,
70321777,-1.395486432,
71654888,-1.456408212,
72988000,-1.547247988,
74321111,-1.672689105,
75654222,-1.842802405,
76987333,-2.058761765,
78320444,-2.34175931,
79653555,-2.643414481,
80986666,-2.656420552,
82319777,-2.702325952,
83652888,-2.803137238,
84986000,-2.905873866,
86319111,-3.029332898,
87652222,-3.090937498,
88985333,-3.277166368,
90318444,-3.560168854,
91651555,-3.791572753,
92984666,-3.995900466,
94317777,-4.229317235,
95650888,-4.490997612,
96984000,-4.714871598,
98317111,-4.946049938,
99650222,-5.079714882,
100983333,-5.225607335,
102316444,-5.439284173,
103649555,-5.732050242,
104982666,-6.006048663,
106315777,-6.20151806,
107648888,-6.413252969,
108982000,-7.105530686,
110315111,-7.777129327,
111648222,-8.580809996,
112981333,-9.425700844,
114314444,-10.25236601,
115647555,-10.95421978,
116980666,-12.18172952,
118313777,-11.90184169,
119646888,-12.38162204,
120980000,-12.29028911,
122313111,-11.55819644,
123646222,-10.86170504,
124979333,-11.81210733,
126312444,-12.32018935,
127645555,-12.77136122,
128978666,-13.21455115,
130311777,-13.9468804,
131644888,-14.50481962,
132978000,-14.87202591,
134311111,-15.31828899,
135644222,-15.83167682,
136977333,-16.37174077,
138310444,-16.28681425,
139643555,-16.14908558,
140976666,-15.7417051,
142309777,-15.1071589,
143642888,-14.75830466,
144976000,-14.374769,
146309111,-13.74104294,
147642222,-13.10184795,
148975333,-12.68897522,
150308444,-12.63798657,
151641555,-12.71799992,
152974666,-12.70293945,
154307777,-12.79007762,
155640888,-13.06421314,
156974000,-13.43873197,
158307111,-13.58150453,
159640222,-13.58638648,
160973333,-13.65008715,
162306444,-13.87485047,
163639555,-14.15049655,
164972666,-14.38224825,
166305777,-14.51630845,
167638888,-14.66336419,
168972000,-14.77718464,
170305111,-14.90852348,
171638222,-15.03547145,
172971333,-14.88952122,
174304444,-14.58676092,
175637555,-14.60344194,
176970666,-14.63526227,
178303777,-14.65818373,
179636888,-14.57691869,
180970000,-14.53072132,
182303111,-14.7019445,
183636222,-15.01397248,
184969333,-15.38997816,
186302444,-15.78279612,
187635555,-16.00107867,
188968666,-16.07553662,
190301777,-16.12840439,
191634888,-16.25921436,
192968000,-16.39135186,
194301111,-16.56748023,
195634222,-16.73651796,
196967333,-16.68916745,
198300444,-16.53751216,
199633555,-16.55556975,
200966666,-16.67384599,
202299777,-16.73238727,
203632888,-16.63317581,
204966000,-16.50747362,
206299111,-16.27111847,
207632222,-16.05433036,
208965333,-15.97363627,
210298444,-16.02831173,
211631555,-16.31736695,
212964666,-16.82107398,
214297777,-16.89513035,
215630888,-16.91079419,
216964000,-17.03385259,
218297111,-17.04512509,
219630222,-16.92539254,
220963333,-16.71194803,
222296444,-16.4986292,
223629555,-16.33282708,
224962666,-16.4368994,
226295777,-16.79889374,
227628888,-17.21782789,
228962000,-17.61985946,
230295111,-17.9421723,
231628222,-18.13040115,
232961333,-18.17783972,
234294444,-18.10018588,
235627555,-17.90239182,
236960666,-17.57262928,
238293777,-17.36235616,
239626888,-17.3011536,
240960000,-17.29470023,
242293111,-17.05223053,
243626222,-16.54445567,
244959333,-16.0175114,
246292444,-15.59202281,
247625555,-15.46205651,
248958666,-15.31111889,
250291777,-15.04286239,
251624888,-14.75353341,
252958000,-14.67024007,
254291111,-14.96245082,
255624222,-14.65584823,
256957333,-14.24103947,
258290444,-14.00197821,
259623555,-13.94975013,
260956666,-13.85732915,
262289777,-13.62351837,
263622888,-13.33274582,
264956000,-13.11388313,
266289111,-12.60232652,
267622222,-12.32126337,
268955333,-12.23917222,
270288444,-11.97682678,
271621555,-11.88212575,
272954666,-11.81916324,
274287777,-11.79031936,
275620888,-11.7237244,
276954000,-11.70500021,
278287111,-11.77273442,
279620222,-11.97298482,
280953333,-12.0342643,
282286444,-12.1853897,
283619555,-12.17336764,
284952666,-12.36170878,
286285777,-12.52709573,
287618888,-12.5990929,
288952000,-12.62112843,
290285111,-12.57843389,
291618222,-12.47404447,
292951333,-12.31819665,
294284444,-12.13843422,
295617555,-11.98203548,
296950666,-11.89574536,
298283777,-11.91596443,
299616888,-11.92994249,
300950000,-11.93169183,
302283111,-11.8791818,
303616222,-11.84903052,
304949333,-11.88965691,
306282444,-12.00379683,
307615555,-12.11298649,
308948666,-12.14468883,
310281777,-12.18280591,
311614888,-12.40843662,
312948000,-12.76295473,
314281111,-13.18415802,
315614222,-13.56879875,
316947333,-13.9493027,
318280444,-14.29532745,
319613555,-14.57925995,
320946666,-14.82201907,
322279777,-15.04706078,
323612888,-15.18362952,
324946000,-15.25050431,
326279111,-15.27914603,
327612222,-15.27691381,
328945333,-15.19692777,
330278444,-15.14801776,
331611555,-15.08012663,
332944666,-14.96664222,
334277777,-14.89067303,
335610888,-14.91365746,
336944000,-14.95381688,
338277111,-14.96514942,
