Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,-12.741019,-130.0228258,-70.53568211,-110.3169254,-6.450795048,-76.98202246,-40.25601045,-170.6261754,
4001000,-15.94019528,157.038747,-68.07557827,121.5521536,-0.8167669241,-131.5433993,-42.3982682,93.92122077,
7002001,-15.01335552,124.1381173,-62.33359039,88.59655483,0.6934578307,-145.9385178,-44.13963041,58.8808942,
10003001,-13.74677475,102.1839649,-57.66190239,90.93916124,1.544488076,-152.7678719,-45.7232052,38.05092084,
13004002,-12.59954045,85.97083388,-56.66241472,76.30839815,2.215357032,-157.1608185,-46.55862584,24.67293861,
16005002,-11.65511161,73.35523821,-54.23063482,73.83929952,2.778324171,-161.1315585,-47.62093268,10.70388271,
19006003,-10.97941247,62.9797376,-53.9384249,66.39923589,3.193159376,-164.6841629,-48.4659429,-0.159831628,
22007003,-10.4931609,54.39422296,-51.72418176,59.08658078,3.524235043,-167.8310543,-49.20098604,-7.452064333,
25008004,-10.22168788,46.06832731,-51.214265,51.90899751,3.70628117,-171.7995025,-50.04761082,-20.2314472,
28009004,-9.958507365,40.30338472,-51.00733264,48.94152635,3.91424674,-174.3782736,-50.56112162,-27.34540329,
31010005,-9.770771818,35.29493876,-51.53892513,44.67807075,4.075596118,-176.7537309,-50.86213554,-31.34294911,
34011005,-9.685101437,29.92914593,-50.2112448,37.60501595,4.150986888,-179.4992605,-51.87615251,-37.8799046,
37012006,-9.623008823,25.16724965,-50.13581422,32.89500531,4.201931048,177.8043844,-51.70025348,-42.00963187,
40013006,-9.572997734,20.98466827,-49.62045648,30.04073932,4.237390831,175.3083329,-52.38631992,-47.04194611,
43014007,-9.516140366,17.43264585,-49.79153649,25.08107874,4.275259436,173.0884623,-52.6913509,-53.1228774,
46015007,-9.456442249,14.36630353,-49.77825207,22.592295,4.313462717,171.0444409,-53.18902751,-55.03706001,
49016008,-9.40339105,11.53752205,-49.66359304,19.79926278,4.345525288,169.0280292,-53.20300241,-59.98446746,
52017008,-9.364739489,8.853906963,-49.30939967,17.49013164,4.369438003,167.0338996,-53.5600753,-62.26088597,
55018009,-9.328681898,6.289533875,-49.38837189,16.2631825,4.38869216,165.0720513,-54.12199449,-64.51530159,
58019009,-9.304846605,4.071974292,-49.06233154,13.51977122,4.40228827,163.2578245,-53.22923621,-69.34972915,
61020010,-9.262111693,2.298966035,-50.08359919,13.78525647,4.439959649,161.8507684,-53.9830204,-68.86291613,
64021010,-9.251423123,0.5560371491,-48.88519617,8.922426588,4.439751378,160.4535976,-54.54502943,-74.1339388,
67022011,-9.241954171,-1.218854046,-48.8304629,6.354335707,4.444614589,158.9366864,-54.26129996,-75.66020288,
70023011,-9.232936278,-2.937365833,-48.99458435,4.754539816,4.444032319,157.3862672,-54.72153843,-73.1941425,
73024012,-9.221379717,-4.669679232,-48.90920027,4.842754515,4.440213262,155.8109333,-54.94741679,-75.46538121,
76025012,-9.221409449,-6.398286636,-48.90575939,3.527139701,4.435233303,154.2246628,-54.95491352,-73.75199936,
79026013,-9.220712889,-8.219821799,-48.66532059,0.5572461665,4.42599709,152.6425079,-55.24865323,-76.63241485,
82027013,-9.208120146,-9.961808326,-48.91688982,-0.679937628,4.418809629,151.0401673,-55.18298392,-69.226553,
85028014,-9.191158725,-11.58519722,-48.74476619,-3.636102638,4.412510987,149.4316393,-55.71180631,-73.40027863,
88029014,-9.170630672,-13.16347889,-48.61095316,-1.951624728,4.406134184,147.8642503,-55.71038629,-76.16721285,
91030015,-9.149946472,-14.63957139,-48.85551513,-4.880026619,4.401392202,146.3305677,-56.21540051,-66.53503578,
94031015,-9.127432657,-16.03609693,-48.64120062,-3.98452262,4.398025536,144.8455572,-56.94880708,-62.897934,
97032016,-9.110420555,-17.41688671,-48.60286016,-7.262581609,4.390424624,143.398122,-56.22313877,-62.63645242,
100033016,-9.090059309,-18.67087783,-48.71049494,-8.153030732,4.38619396,141.9894212,-57.55100444,-57.21225076,
103034017,-9.070562943,-19.89493457,-48.67956273,-9.851162295,4.37715032,140.6128935,-57.09992452,-53.51486833,
106035017,-9.0646903,-21.11112094,-48.46823793,-9.387753117,4.363839421,139.2624202,-57.57748733,-56.49010093,
109036018,-9.055989839,-22.27927219,-48.42819376,-11.69615832,4.349678863,137.9116103,-57.9916092,-52.25849238,
112037018,-9.051309068,-23.46423284,-48.6297333,-11.76221529,4.334963699,136.5181275,-58.72401372,-47.74625589,
115038019,-9.044250173,-24.67119557,-48.47422509,-14.5161854,4.318289445,135.0905424,-58.82510414,-51.38252427,
118039019,-9.042150357,-25.8474279,-48.26424623,-14.56011259,4.304303408,133.6810169,-57.65781253,-54.45500429,
121040020,-9.03919589,-27.09833821,-48.28954239,-17.00465277,4.288966893,132.2545791,-57.2405248,-48.96495559,
124041020,-9.030473961,-28.36076209,-48.42845346,-16.31927148,4.276021113,130.8308819,-57.93662925,-44.15463836,
127042021,-9.014795614,-29.64556724,-48.60128536,-19.55644523,4.261885597,129.4126901,-57.29702515,-48.6135385,
130043021,-8.999491085,-30.83542755,-48.62433727,-20.41610826,4.248670424,127.9996884,-58.21310493,-46.43218947,
133044022,-8.989846275,-32.00787084,-48.3678741,-20.98989138,4.23453676,126.5976921,-58.9675714,-45.71595161,
136045022,-8.972391935,-33.05678302,-48.33777671,-22.77079205,4.224995501,125.2566088,-61.14247911,-41.60441251,
139046023,-8.953606844,-33.96578122,-47.83237457,-23.85344826,4.211110698,123.999079,-62.13147371,-18.03805581,
142047023,-8.899383418,-35.37539732,-48.30983672,-23.26862691,4.233415681,122.6010049,-61.55826263,-10.27451147,
145048024,-8.91831544,-36.47624117,-47.9767575,-24.22923826,4.208516042,121.2343575,-66.23428506,-16.94412431,
148049024,-8.916536634,-37.40468166,-48.41429898,-22.24220835,4.18757741,119.9406662,-66.97729389,-0.9836841436,
151050025,-8.911693807,-38.43736851,-48.35745079,-24.83098005,4.167714215,118.6267389,-73.88762926,17.36202824,
154051025,-8.908544307,-39.43149514,-48.25024043,-28.23814152,4.145707458,117.2666622,-71.29343314,55.87778022,
157052026,-8.901575593,-40.46035666,-48.51527057,-30.89434213,4.126092175,115.9076491,-69.81836104,104.2310874,
160053026,-8.893354227,-41.45719813,-48.55334254,-28.62505692,4.108387338,114.5666269,-66.32429167,107.136221,
163054027,-8.883540029,-42.50474333,-48.18072102,-28.9688699,4.089300442,113.1864702,-64.45268983,142.3105126,
166055027,-8.874430242,-43.55776992,-48.18268607,-32.58807191,4.074092991,111.8025013,-63.21908637,146.3788521,
169056028,-8.862154176,-44.65155327,-48.51875688,-33.07668147,4.058704155,110.4335164,-61.39914737,151.2417639,
172057028,-8.848905671,-45.74837826,-48.17894352,-34.35036136,4.041055813,109.0726457,-60.28291145,151.8722676,
